,row_C1_data
IL2,0.0008181322772415024
CDKN1A,8.560837771236903e-05
RPS27L,6.801231690195997e-05
NFKBIA,6.306781652235487e-05
TNFRSF4,5.8782301333667255e-05
ID3,5.825686557949861e-05
CCNG1,4.9530886803773056e-05
CD81,3.702494486484479e-05
CD200,3.417937566208278e-05
BAX,3.370662859826962e-05
S100A6,3.203137403751445e-05
CD69,3.150753475768035e-05
CD5,3.0092992920999757e-05
SRGN,2.9501164610363346e-05
SAT1,2.912981702467796e-05
1500012F01RIK,2.4320038660104968e-05
NRN1,2.3716859145775113e-05
HNRNPA1,2.3160391018439756e-05
GLIPR1,1.9785928687335774e-05
CCL3,1.9542667476757893e-05
IL2RG,1.953854070307059e-05
PSRC1,1.9441340087957418e-05
SERPINE2,1.922830711360699e-05
BCL2A1D,1.8838920088330535e-05
CD6,1.812932991650227e-05
RGS1,1.7561909118864557e-05
BLOC1S2,1.65123267804707e-05
HNRNPDL,1.620173691838408e-05
RPL41,1.5703535668872644e-05
ITM2A,1.5539910122507674e-05
PDCD1,1.53397021278154e-05
UBB,1.523462074821979e-05
SLFN2,1.5191965073600838e-05
CCL4,1.5100259033844865e-05
CD40LG,1.4394504528640842e-05
GM20594,1.4127107792945423e-05
TNFRSF18,1.4122497629133021e-05
EIF1,1.3882936089850288e-05
H3F3B,1.3502153286482446e-05
GIMAP5,1.305458208602125e-05
ACTG1,1.273682850497595e-05
GRAP,1.2384842107474277e-05
BCL2A1B,1.23267008352496e-05
GPR171,1.2212420807032528e-05
RGS16,1.1875210395119103e-05
CST7,1.1797480545695618e-05
APRT,1.1582602459063145e-05
PSMA6,1.1564192502258491e-05
NDFIP1,1.127592483905323e-05
PTPRCAP,1.0736416175498943e-05
BTLA,1.0399989731936168e-05
LUM,1.0241979971733494e-05
TNFSF4,1.0212556511435289e-05
9030617O03RIK,9.840684007031719e-06
NAA20,9.673530826519839e-06
PTPRC,9.44923117841722e-06
TUBB6,9.18070495719749e-06
INHBA,8.930155830260063e-06
TNFSF8,8.89261540165098e-06
FAS,8.65198467801924e-06
SLAMF6,8.535118047017716e-06
TNFAIP8,8.4271472163185e-06
CTH,8.410352436087254e-06
BHLHE40,8.331423335880394e-06
GTSE1,8.220649360371622e-06
CLK1,8.205956377515909e-06
DCXR,8.007655915851796e-06
CD44,7.85089740021197e-06
EGR1,7.80152795127422e-06
TAPBPL,7.575613490911092e-06
TM2D3,7.531265190533341e-06
AEN,7.488481105024722e-06
CRIP2,7.483785931516295e-06
TMSB4X,7.341304161751351e-06
IL3,7.273454006422778e-06
LCP2,7.222488362945969e-06
PRKCSH,7.150110555994275e-06
CD53,6.940348227758279e-06
DDT,6.754448529057438e-06
SLC1A5,6.74087586305198e-06
MS4A6B,6.662596062354637e-06
MDM2,6.573794029680419e-06
CLPP,6.5067256552582285e-06
CSNK1A1,6.471341457910801e-06
RPL7A,-6.568164035331307e-06
CFL1,-6.656226130353861e-06
GATM,-6.681982899573328e-06
RAC1,-6.807749965810256e-06
KRTCAP2,-6.999586401361109e-06
COX4I1,-7.078618721929135e-06
SRM,-7.129725294414953e-06
TUBB4B,-7.14824692495514e-06
SHMT2,-7.389493461842114e-06
SOCS3,-7.4247489408224575e-06
NT5E,-7.67489473851636e-06
CYP11A1,-7.845092831907651e-06
ME2,-7.949107462637558e-06
IL22,-8.08607402714499e-06
EGLN3,-8.15134320720051e-06
FDPS,-8.166686609477108e-06
PHGDH,-8.312107426517962e-06
LARS2,-8.976004040879356e-06
RPL38,-9.044281582560061e-06
EIF5A,-9.071698263121608e-06
RPL7,-9.43275165601884e-06
RPL36A,-1.0324282537178228e-05
TUBB5,-1.0428243993343612e-05
PFN1,-1.0769459117690471e-05
RPL5,-1.0879413522745169e-05
RPL32,-1.1141888211159916e-05
RPS3A1,-1.116669539866108e-05
RNF187,-1.1361632205097492e-05
RPL31,-1.159943589943094e-05
RPS25,-1.1606587177084187e-05
GNB2L1,-1.162532542796848e-05
PTMA,-1.2345368001414421e-05
UCP2,-1.2424542944184453e-05
RPS4X,-1.2580622835569786e-05
HSP90AB1,-1.2758377462703321e-05
LY6A,-1.2845516500906189e-05
CRIP1,-1.3123220039960153e-05
CCL20,-1.3136121412629253e-05
SERPINB1A,-1.3139856884785491e-05
RPL24,-1.3223507150573197e-05
PDPN,-1.3301790107081415e-05
ANP32B,-1.3577711682759385e-05
SOCS2,-1.3711334054867803e-05
RPL36,-1.400100984763107e-05
FOXP3,-1.4217319764532518e-05
ASS1,-1.4282744493382189e-05
MT1,-1.4330795931303548e-05
RPS27,-1.4940717751479768e-05
RPS21,-1.5038113165552572e-05
OLFM2,-1.50411465719016e-05
RPS8,-1.5188085871136418e-05
IMPDH2,-1.5252484485774493e-05
IL2RB,-1.5551886526629614e-05
SGK1,-1.5676745730048124e-05
RPL14,-1.5835616232972406e-05
TGM2,-1.602028530001085e-05
ALDOA,-1.6418433440754403e-05
CTLA2B,-1.6749335108463594e-05
RPS10,-1.776846073867991e-05
VIM,-1.7969375174722754e-05
CORO1A,-1.8161625256973412e-05
RPS13,-1.8504784225933376e-05
RPL36AL,-1.8570197759605167e-05
RPS17,-1.8934718554574882e-05
RPL37,-1.906734826379447e-05
RPL10,-1.9096770908832994e-05
CNDP2,-1.9507494420144855e-05
TNFRSF13B,-1.966295463808675e-05
RPLP2,-1.9806725768052786e-05
IRF8,-1.98079838596755e-05
TUBA1B,-2.008338011865959e-05
RPL30,-2.0295724917964423e-05
RPS19,-2.034158142302458e-05
LGALS1,-2.1290473453967242e-05
IL17A,-2.272225697454417e-05
NACA,-2.3665423048909974e-05
RPL35,-2.3913358801131248e-05
RPS2,-2.4044156096358796e-05
CAPG,-2.4298902279799503e-05
IFI47,-2.4312289141400344e-05
RPL28,-2.6214624863711626e-05
RPL26,-2.6715599069875024e-05
RPL17,-2.687302203269339e-05
FAU,-2.7726528422241238e-05
LTB,-2.782572814423713e-05
RPL34,-2.8171669812213193e-05
RPL18A,-2.82167089412344e-05
RPL8,-2.977243587035767e-05
RPS7,-3.064560215883927e-05
CTSW,-3.071204071988813e-05
RPL18,-3.17598016921684e-05
RPL13,-3.315281065500688e-05
RPL11,-3.3702201653615284e-05
RPL27,-3.423344378814216e-05
RPS20,-3.7403347244566334e-05
RPL3,-3.788342446107404e-05
RPL6,-3.9996120449095564e-05
RPS15,-4.054422997474161e-05
RPL10A,-4.145181299437594e-05
CTLA2A,-4.367652127385773e-05
RPS16,-4.5679649370239134e-05
RPL35A,-4.7544790638879187e-05
RPS23,-4.805412105513598e-05
HSPA8,-5.2864797406770674e-05
IGFBP4,-5.4531563104007837e-05
RPS14,-5.824784835171173e-05
UBA52,-5.874461295852265e-05
RPL22L1,-6.042436050393679e-05
RPS18,-7.0199555444546e-05
AQP3,-7.59680051059929e-05
RPS11,-8.77752874077712e-05
TIMP1,-8.876595852957557e-05
LTA,-0.00010998856913292595
EEF1A1,-0.000301021398274062
IL9,-0.0003087614018670749
IL17F,-0.0005922641766250628
