,row_E7_data
CAPG,0.0001385673067718775
EEF1A1,0.00010878686068952273
LTA,0.00010129471330550584
IL17F,8.416735020732333e-05
AQP3,5.9759764411325425e-05
CTSW,5.9144976402569455e-05
CTLA2A,5.1487769300129706e-05
RPS18,4.645390758058746e-05
IGFBP4,4.493522332138912e-05
TIMP1,4.24764939553237e-05
UBA52,3.941621589127547e-05
RPS14,3.716071869017823e-05
LGALS1,3.6979033887126855e-05
LY6A,3.66935698941923e-05
SGK1,3.618160118148507e-05
ASS1,3.549130939533271e-05
VIM,3.5309635891236826e-05
FOXP3,3.36873064308628e-05
RPS23,3.2370727664064465e-05
ME2,3.232835179895785e-05
IL9,3.202430122275253e-05
RPL35A,3.138786857326991e-05
RPL35,2.938773862279202e-05
RPS16,2.9104159346815105e-05
SERPINB1A,2.798451033965802e-05
CCR8,2.7252312972664192e-05
RPS11,2.582055241345777e-05
RPL28,2.5669750214754768e-05
PLP2,2.550163016769564e-05
CNDP2,2.3596800119893418e-05
RPS27,2.2079350384878436e-05
TMSB10,2.1971187507348404e-05
RPL10A,2.182114651663977e-05
IRF8,2.1398181014789157e-05
RPL37A,2.13383068618335e-05
RPL17,2.1260661039202106e-05
RPS15,2.1258944758518913e-05
RPL26,2.0069096046374766e-05
IFI47,2.0008122306616206e-05
RPS20,1.9520033860622615e-05
RPS2,1.9428310559248176e-05
TNFRSF13B,1.9362301948693014e-05
FTH1,1.9034952407919858e-05
RPS7,1.8712678532908645e-05
MYL12B,1.6940004657955198e-05
RPL18A,1.6706926923090813e-05
RPL36A,1.669287388951252e-05
TNIP2,1.6689475225925627e-05
FAU,1.598684999055535e-05
LAT,1.5977909589992545e-05
ATP5H,1.595778189656473e-05
LY6C1,1.5943830752641103e-05
RPL34,1.591482770652269e-05
RPLP2,1.585717450673348e-05
HCLS1,1.566970019949456e-05
LPXN,1.5591259201856803e-05
GATM,1.5386506387227718e-05
RPL37,1.5291358224132432e-05
RPL11,1.5147922293216838e-05
RPS19,1.5010633692832996e-05
CRIP1,1.4578359263133703e-05
RPL32,1.4542975011884961e-05
CYP11A1,1.4063368280058817e-05
RPL24,1.3869774619356301e-05
RPS8,1.3711849192191708e-05
CTLA2B,1.3680316721609962e-05
RPS13,1.3183955058988951e-05
RPS28,1.242504485886035e-05
OLFM2,1.2297100367955789e-05
LTB,1.2196615509470008e-05
RPL6,1.2168806057533257e-05
RPL27,1.2162593166997857e-05
RPL38,1.19236681674719e-05
RPL23A,1.1864125971690185e-05
INTS4,1.1829591639812335e-05
IL2RB,1.138095972744048e-05
RPS17,1.0867984808375978e-05
LSM4,1.0826111634078332e-05
IKZF3,1.070591824518873e-05
RGCC,1.0651853870554358e-05
APLP2,1.0609926216667094e-05
HIST1H2AP,1.0590338973662933e-05
RPL22L1,1.0501215056709094e-05
HMGN2,1.047808109372313e-05
APOL9B,1.0258459073835889e-05
RPL18,1.021712799496703e-05
TGM2,1.0214042336810324e-05
SLC39A8,1.0179458335337421e-05
TSPAN13,9.93073938877954e-06
ACSBG1,9.847258259708575e-06
UBE2C,9.837959157957683e-06
SH3BGRL3,9.767220239244597e-06
RPL14,9.699907483328286e-06
RPS4X,9.558027126390875e-06
RPS26,9.387696011208137e-06
LGALS3,9.373912174197973e-06
NACA,9.34302266582223e-06
NT5E,9.160682702421197e-06
RPL3,9.068923514359456e-06
RPL39,8.950131242836315e-06
NINJ1,8.944083851694818e-06
RPS25,8.915010646633903e-06
MBNL1,-8.577283246747101e-06
PDZK1IP1,-8.67044485762892e-06
PTPRC,-8.747158611990478e-06
IL3,-9.019990941457403e-06
STAT4,-9.07006518056039e-06
SATB1,-9.072994160557007e-06
GPR183,-9.121961493640998e-06
GZMB,-9.306332127113745e-06
TNFRSF9,-9.53482729593081e-06
TUBA1A,-9.85342893576055e-06
HSD17B10,-9.855994409968577e-06
BNIP3,-9.985038821758911e-06
BATF,-1.0190893983804474e-05
SHISA5,-1.0496322720884056e-05
ATF4,-1.0508039924541763e-05
PSRC1,-1.057727103334318e-05
GSTT2,-1.064742341992176e-05
HMGCS1,-1.0666989558395803e-05
TNFSF11,-1.095767563279343e-05
TFRC,-1.0991261457341655e-05
LAD1,-1.1044459297212232e-05
BHLHE40,-1.1055959668350773e-05
PSMA6,-1.111403014284673e-05
SERPINB9,-1.1629447803980815e-05
CD3G,-1.1806919163799667e-05
CTH,-1.1862870870182555e-05
B3GNT2,-1.221438609836402e-05
GRAP,-1.2293302275648243e-05
BCL2A1D,-1.2455908915973547e-05
PFKL,-1.247376347311682e-05
PTPRCAP,-1.250909493264408e-05
SLAMF6,-1.2838286219819567e-05
GIMAP6,-1.3151167424387213e-05
PHLDA3,-1.3228109456097002e-05
PRELID2,-1.4475211310460228e-05
BAX,-1.4956661137854841e-05
IFITM3,-1.5178709858115591e-05
BSG,-1.5479588726293416e-05
CD6,-1.558255236505101e-05
TNFSF8,-1.5790440473572638e-05
CD9,-1.6363123460108336e-05
CCL3,-1.644799144677145e-05
PGAM1,-1.6470079962383337e-05
SERPINB6B,-1.683927255367849e-05
SLFN2,-1.691391169175374e-05
CRABP2,-1.6940884193588793e-05
MS4A4B,-1.7471256595422183e-05
CD81,-1.7950245993102172e-05
NRN1,-1.7970827959724834e-05
IFITM2,-1.833429712091599e-05
HSPD1,-1.862288427886164e-05
GIMAP5,-1.917677694699211e-05
GLIPR1,-1.9556105552990597e-05
HNRNPA1,-1.964763420725084e-05
RPS27L,-2.0161591681307694e-05
CD40LG,-2.0209034621513968e-05
CD5,-2.0552261377759608e-05
LDHA,-2.107196876585248e-05
ITM2A,-2.1276468174803265e-05
TIGIT,-2.1369629612181203e-05
SH2D1A,-2.1504659253333526e-05
SERPINE2,-2.1728967022142737e-05
ANXA2,-2.225157638948883e-05
GBP2,-2.2674238482559594e-05
DUSP2,-2.3529841048604023e-05
BTLA,-2.353905286414996e-05
SRGN,-2.4010302723325583e-05
SAT1,-2.5002694069235572e-05
DNAJC15,-2.5526642819650366e-05
CST7,-2.5583050038171136e-05
IL2RG,-2.6012452678533338e-05
PKM,-2.619111930736933e-05
TNFRSF18,-2.6810088682765344e-05
CCNG1,-2.7788175239660198e-05
CD69,-2.80044029009309e-05
RILPL2,-2.8697758639943292e-05
NPM1,-2.9420947296128854e-05
GPR171,-3.092513853404656e-05
ACTG1,-3.257667311764125e-05
GAPDH,-3.3631504298978855e-05
S100A6,-3.4858533261578996e-05
MS4A6B,-3.5188646990601816e-05
PIM2,-3.568257009917106e-05
LUM,-3.7452552353105345e-05
PGK1,-3.9361823658289676e-05
CDKN1A,-4.135665935794263e-05
ALDOA,-4.283724619029948e-05
IL22,-4.803787504312481e-05
DDT,-5.14293655387557e-05
ENO1,-5.151667630602983e-05
NFKBIA,-6.629622280995991e-05
CD53,-6.908159922522911e-05
TNFRSF4,-7.690961327094925e-05
MIF,-7.967812056576036e-05
CD200,-8.722531200888682e-05
TPI1,-9.591402191043766e-05
ID3,-0.00012490837933261582
IL2,-0.000813442239847998
