,HIV/AIDS,Diarrheal diseases,Nutritional deficiencies,Neonatal disorders,Neoplasms,Protein-energy malnutrition,Lower respiratory infections,Alzheimer's disease and other dementias,Exposure to forces of nature,Cardiovascular diseases,Tuberculosis,Chronic kidney disease,Conflict and terrorism,Diabetes mellitus,Drowning,Malaria,Meningitis
1990,-0.0033616386602331435,0.0013943891003021904,0.0008186305721466051,0.0007761928234513637,-0.0006887669084989327,0.0006958659121982622,0.0009448597403745032,-0.000559134331706913,2.8506212540802925e-06,-0.0004439673183884857,0.0004294044653384002,-0.00034922736984153513,1.2464047936864772e-05,-0.0003594478804665063,0.0002450540389961457,3.669021386619399e-05,0.00015071755666850575
1991,-0.0024000926750690826,0.0013178003156540776,0.0006704486457189884,0.0006451043560447003,-0.0006292890965449187,0.000564966177526357,0.0007871183760312615,-0.0004990762164016581,0.0005341802514517817,-0.00043774820747066734,0.00040517969186751063,-0.00033358795371891655,-9.382036531283436e-06,-0.0003297017893205173,0.00021156004460132086,4.391676468630838e-05,0.00013003829315701382
1992,-0.001566375245971357,0.0011666138879579749,0.0005417579604631705,0.0005519764802137551,-0.0005350789366147879,0.0004539104642595248,0.0006846093426028047,-0.00043722920414474486,-0.00016815537709368383,-0.0003605399153105097,0.0004150626974837807,-0.0003020768235427443,-7.427994202463507e-05,-0.0002857113891812993,0.00018134721755541238,3.5007185480722346e-05,0.00011697066843885915
1993,-0.0009188617119143573,0.0008809537391513116,0.0004168864293026633,0.00043170046705263195,-0.00045244942720658755,0.0003500866702845387,0.0005381097002666382,-0.00039252450899022106,-7.464687081641712e-05,-0.00026047579344849747,0.00030402866588421715,-0.00028382030069080315,-7.577042521528997e-05,-0.0002508513296573692,0.00015947592058198788,2.8736163807347153e-05,9.220636692925071e-05
1994,-0.0004650889603030838,0.0006354374388789349,0.00030384383739355146,0.0003031535875509385,-0.0004599566175432822,0.0002571638087197933,0.00037457323251926123,-0.0003662777846281239,-0.00016517650680935588,-0.0002940100060458044,0.00021403767466777546,-0.0002740354959230595,0.0027307022543669266,-0.00023486776275083616,0.0001327358408122057,1.3296812542345463e-05,6.45568389386229e-05
1995,-0.00015146559703321555,0.0005143238659748115,0.0005261238194735555,0.00027497823380395357,-0.0003526815921636832,0.0004933959760429383,0.00032459630610427075,-0.00030281507741006654,-9.559482431954243e-05,-0.00023532782131276825,0.00019401518676884656,-0.0002297165389305864,-6.326230649197342e-05,-0.0001885281257728924,0.00012007946938693875,1.6993592869323708e-05,5.857123597405008e-05
1996,-2.316264234167374e-05,0.0004056768444949221,0.0003600798343437995,0.0002265732806888605,-0.0002929590939963287,0.0003359098620028542,0.00024464609180122054,-0.0002534149863226943,-0.00013900035509671935,-0.00021299945129405785,0.00016452578485308747,-0.00018914735478718224,-1.220946021923252e-05,-0.00014658272533274496,9.025755063722999e-05,2.117612950356708e-05,6.805115769334283e-05
1997,1.7486336420068224e-06,0.0003233863753126934,0.00028024175086006757,0.00017931082854783257,-0.00025584415551859526,0.0002633593303578165,0.0001760676222129602,-0.00021863089632911232,-0.00010920066196257774,-0.00020024805859399607,0.00015506479291287198,-0.00014914039496869889,-1.4484993087563591e-06,-0.00011132259980589448,6.798862789537084e-05,3.0426912327397612e-05,4.040678560498655e-05
1998,6.337257177253569e-05,0.0002501524925032205,0.00020210801373007924,0.0001352667640512526,-0.00021085703948884888,0.00019476171411205432,0.00011352393531076973,-0.00018701710579244147,-1.34363178256032e-12,-0.00019594783918317187,0.0001365834937029609,-0.00011401785378429403,2.2173491891515278e-07,-8.510658958792009e-05,5.347327675061706e-05,3.104810641080865e-05,2.7962354189112963e-05
1999,0.00020266839383096787,0.0001626870553227233,0.00013186352474224658,8.738009652449691e-05,-0.00016514579121090518,0.00013322843875812878,5.7475642259356566e-05,-0.0001615515477701075,2.7962346185068514e-05,-0.00015558333566952683,0.00010904118380384393,-8.977282550652783e-05,3.556748242185566e-05,-6.84425354710844e-05,3.425896810615336e-05,1.898515586887088e-05,2.0179774035975232e-05
2000,0.00038412001561047987,9.506897558300177e-05,8.257308756030163e-05,5.6298923718794795e-05,-0.00011726910510821047,8.72020540448762e-05,2.2423413214444905e-05,-0.00013036167738653516,-0.00023034156564481282,-0.00010970956730042142,9.125993783480656e-05,-6.256930347302162e-05,4.299721395256174e-06,-4.953564780884386e-05,2.11479673883392e-05,9.681682531465039e-06,1.4182863221799929e-05
2001,0.0005757810404576455,4.414212574901932e-05,4.4195528445501245e-05,3.27575474894442e-05,-8.785773101360446e-05,4.9827340857363936e-05,2.747852607514151e-06,-9.785342767714691e-05,-3.8128266694266455e-05,-6.96350391122375e-05,5.616855792451377e-05,-4.123415482946676e-05,-7.620508500872373e-05,-3.142676004018615e-05,1.009526101363462e-05,2.197182234296843e-05,8.421284377236216e-06
2002,0.0007327357113572725,9.283561600453979e-06,1.6877174855040164e-05,1.5778922208688358e-05,-6.264476749687177e-05,2.2666965839419093e-05,-8.68489539317726e-07,-7.04480817886765e-05,-0.00023327135106364453,-3.2336697275111344e-05,2.6196101086148707e-05,-2.4567537962688797e-05,-8.184172180247497e-05,-1.6029346123375382e-05,1.93282086734428e-06,2.620486226599455e-05,3.074974885679797e-06
2003,0.0008714754181114222,-3.1543946044836416e-08,-2.510425978001393e-05,7.665339286166886e-06,-3.20797597734364e-05,-2.040370719790793e-05,-8.621816557362848e-06,-4.3666449615948895e-05,-1.8776618960696063e-05,-1.18491083653657e-05,8.948480184328873e-06,-1.165091946339809e-05,-6.490560757049037e-05,-6.0797576124106125e-06,-5.0762305083241696e-08,4.552031853839809e-05,1.615572391819466e-06
2004,0.0009436095835455224,-1.3476613901855245e-05,-5.4549100475746195e-05,2.207158799649863e-06,-1.4275951102820207e-05,-4.513864927618264e-05,-2.672843248548119e-05,-2.2942816914737433e-05,0.0010008328779990319,-1.4893388512350527e-05,7.86705199841592e-09,-5.488463878267991e-06,-6.799438981213422e-05,-2.703652272858587e-06,-1.7894826739235544e-06,4.314239793714041e-05,2.9886635817454125e-07
2005,0.000888331050481599,-3.3752731252898686e-05,-8.56684896903871e-05,-2.2145965556076227e-09,-1.9267968934875805e-06,-7.277610953964632e-05,-4.0992596823833955e-05,-7.901215450134883e-06,7.626267272395202e-05,-1.4017133829953045e-06,-2.4753727804896833e-06,-3.175024832852906e-07,-0.0001189545559935626,-5.189461264757259e-10,-4.48662316422462e-06,2.503510865178545e-05,3.5539431809202245e-08
2006,0.0007399274815046565,-3.8465941753662147e-05,-0.00011119879724763799,-9.420400972220977e-07,4.6614427241421113e-07,-9.723100430429686e-05,-5.255178105633036e-05,-1.2617288498621915e-07,-0.00010048911434005462,-2.061821818526838e-07,-8.673620017643621e-06,1.4105667439957023e-06,-5.4358159916347265e-05,1.8687230993683632e-06,-1.1269613315873894e-05,2.78407218353273e-05,6.709037614242392e-10
2007,0.0005091426171806913,-5.9341160989814226e-05,-0.00014688114362541025,-6.431737277545757e-06,1.0311406041017476e-05,-0.00013082388155435032,-7.152957081055082e-05,3.826115183558777e-06,-0.00013564061086972286,1.3626049314224235e-06,-2.0247765164857078e-05,8.008818120744702e-06,-6.597606670711361e-05,6.4420204047418105e-06,-1.8174821897587348e-05,2.5970057809570116e-05,-4.300708653127508e-07
2008,0.00026975853753211836,-0.00010206845399529652,-0.00018946924940419158,-2.4924454070293037e-05,2.3692775493187315e-05,-0.000171593180283687,-0.00010390381251159818,1.3965851416918148e-05,0.000924935679607429,6.887386505634047e-06,-4.265272783365794e-05,1.7410825831422924e-05,-9.652683129023477e-05,1.1809150602698005e-05,-2.9586668657471905e-05,1.5350098308533915e-05,-4.186406549511467e-06
2009,0.00013336142394359575,-0.00015862626678448451,-0.0002233458546453508,-3.7598680843578796e-05,7.338651883751672e-05,-0.00020261526987610872,-0.00012016148174948853,4.285039366095397e-05,-0.00020291763919913218,3.525141333925565e-05,-6.947038340068151e-05,3.707770309038577e-05,-6.702306679600036e-05,2.3480033050732384e-05,-3.810313839575048e-05,1.0387230840205126e-05,-6.621811761562107e-06
2010,4.00964268569261e-05,-0.0002417157380202985,-0.000236235913231351,-7.876160152902006e-05,0.00010299938514433775,-0.00021265438816825682,-0.00016707280260625694,7.230185303948593e-05,0.0009520466644255532,6.064323469793858e-05,-0.00012395756339342052,5.4109401166903834e-05,-0.00015348552865209814,2.9964745895127726e-05,-5.152274632947096e-05,4.518782286842306e-06,-1.586178841433717e-05
2011,4.581920635946305e-06,-0.00027726867276272986,-0.0002621826022087795,-0.00011240958964281195,0.00017056135076997866,-0.0002384226282815177,-0.00018422345376856337,0.00012107170048982906,-3.364348908181257e-05,0.00011728674022250946,-0.00016464508935300887,8.802205441298789e-05,-0.00010679744597024847,5.2771677817974776e-05,-6.819077048197595e-05,-2.3043742142850852e-07,-2.9822710213171734e-05
2012,-7.0923880768719e-06,-0.0003966856837724431,-0.000325803452418987,-0.00015964679052375783,0.00023559967889131596,-0.0003026820109260607,-0.00019568712987193477,0.00017593475909587837,-0.00023772908122137847,0.00016982914982201659,-0.00018994900663134849,0.00012058521856123626,-1.2979699703718562e-07,8.30660417026534e-05,-8.093845475202555e-05,-2.2594967067467034e-05,-4.823264472513704e-05
2013,-5.0316545693829e-05,-0.0005065642372872573,-0.0003604918302492575,-0.00021966118091661622,0.0002935200703971276,-0.0003352775183573036,-0.00020166524773846837,0.0002345055623572546,-5.7866262369059914e-05,0.00022657065719640206,-0.00021866626693510657,0.0001591788269286196,1.5881792008562133e-07,0.00011756515740837261,-0.00010403691429071774,-7.694803613261998e-05,-6.918991242858494e-05
2014,-0.00011061859827163952,-0.0006663330045162466,-0.0003979345321829266,-0.0003185580136955677,0.000369622306564581,-0.0003713550979717738,-0.00022523396955267342,0.00030265878818497034,-0.00026830456706848887,0.0002804928486525634,-0.0002525616818160295,0.000194818063879613,0.00012153249334294683,0.00015992460196148205,-0.000129117206950179,-0.00012109467247833536,-9.087875543779681e-05
2015,-0.0001877739560935982,-0.0008292942437265602,-0.00043848760449830904,-0.00044131785324112455,0.00045783638153999284,-0.00040890089929674386,-0.0002574242111741975,0.000368278941205349,-0.00015025641869299621,0.00037454569674504057,-0.0003267357831222722,0.00023331576144325393,6.115513674923186e-05,0.00020118075344346498,-0.0001487799683947351,-0.0001708548608277728,-0.000127901338341922
2016,-0.00026268953205033237,-0.000978296275317445,-0.0004770710852658065,-0.0006337357005488133,0.0005607708311540661,-0.00044527514610220647,-0.00030741443760093877,0.0004554951384109179,-0.0002479672804831818,0.00046116844938402096,-0.00038523402229118835,0.00027593543783039753,4.651899651273133e-05,0.0002520655837226224,-0.0001716626409814289,-0.00027361562054757996,-0.00015210148300545537
2017,-0.0003846578931014973,-0.00104119602773495,-0.0005169858298770347,-0.0008598306384693206,0.0006658605404643424,-0.00048412274081244136,-0.00037532350542925476,0.0005524465227906054,-0.00018013487334351055,0.0005465989632803554,-0.000446163242181016,0.00030139082467243094,3.588647321582384e-06,0.0002997872241735002,-0.0002007734026423032,-0.00036770155762619414,-0.0001922967635112873
2018,-0.0005621345723316891,-0.001280838657799886,-0.0005858179767940237,-0.0011204994379020615,0.000792132488337682,-0.0005502414553480901,-0.00042978290713485516,0.0006370115280045574,-0.00021286818512837867,0.0006640685922023343,-0.0005494772367292838,0.00033115757220928115,-9.286274483025764e-06,0.0003442784421427065,-0.00021781923485178283,-0.0003876884685359973,-0.00023293940173202974
2019,-0.0006937097624866223,-0.0015087213555670474,-0.00064550370235313,-0.0013877767750076686,0.0009364594979419973,-0.0006064454276726574,-0.0004789228221199881,0.0007080584802438379,-0.00030382674799311546,0.0007778402755729084,-0.00066089356967329,0.00036162216790956367,-0.00013005614194699032,0.00038687607701047176,-0.0002421406688674219,-0.000379826235190146,-0.00026673571956460347
