,element,Country,Marketcap
0,Electricity,Saudi Arabia,-0.019078288928215392
1,Food,Saudi Arabia,-0.008446145928102673
2,Insurance,Saudi Arabia,-0.019078288928215392
3,Oil&Gas,Saudi Arabia,0.08183905110626377
4,Pharmaceuticals,Saudi Arabia,-0.019078288928215392
5,Real Estate,Saudi Arabia,-0.019078288928215392
6,Retail,Saudi Arabia,-0.01571338088195676
7,Technology,Saudi Arabia,-0.019078288928215392
8,Electricity,Switzerland,-0.012644495358061045
9,Food,Switzerland,0.025098170995476312
10,Insurance,Switzerland,0.0026522064739568883
11,Oil&Gas,Switzerland,-0.017495625861867575
12,Pharmaceuticals,Switzerland,0.005989312077389994
13,Real Estate,Switzerland,-0.012193465335005989
14,Retail,Switzerland,-0.019849511503618
15,Technology,Switzerland,-0.010451541031389313
16,Electricity,Spain,0.010205009167501847
17,Food,Spain,-0.0026023038264620436
18,Insurance,Spain,-0.001693590703663392
19,Oil&Gas,Spain,-0.0015091016428946888
20,Pharmaceuticals,Spain,-0.0022608268001933812
21,Real Estate,Spain,-0.005717655605425824
22,Retail,Spain,0.0022508714723407514
23,Technology,Spain,-0.0035655876916161327
24,Electricity,Italy,0.008731962998517202
25,Food,Italy,-0.003081741959225893
26,Insurance,Italy,0.0004936214893278847
27,Oil&Gas,Italy,0.0001193334554303782
28,Pharmaceuticals,Italy,-0.0017133431311085092
29,Real Estate,Italy,-0.0045020904654426595
30,Retail,Italy,-0.0045020904654426595
31,Technology,Italy,-0.0045020904654426595
32,Electricity,China,0.007904788849844555
33,Food,China,-0.0002872253414442547
34,Insurance,China,0.0004415522596077151
35,Oil&Gas,China,0.0010314972653586527
36,Pharmaceuticals,China,-0.005439636220604626
37,Real Estate,China,-0.00572390964396941
38,Retail,China,-0.00019045365933639162
39,Technology,China,-0.00022303538118012426
40,Electricity,South Korea,0.00768340767950051
41,Food,South Korea,-0.0013592327494766118
42,Insurance,South Korea,-0.00030286444770748243
43,Oil&Gas,South Korea,-0.002326003972849022
44,Pharmaceuticals,South Korea,-0.00265063215041387
45,Real Estate,South Korea,-0.002939842570149119
46,Retail,South Korea,4.791263548256143e-05
47,Technology,South Korea,-0.0007590330507189105
48,Electricity,Norway,0.007068819195739635
49,Food,Norway,5.61628231032145e-05
50,Insurance,Norway,-0.0011423732389187714
51,Oil&Gas,Norway,0.0011214248467873132
52,Pharmaceuticals,Norway,-0.0041856515275199065
53,Real Estate,Norway,-0.0041856515275199065
54,Retail,Norway,-0.0041856515275199065
55,Technology,Norway,-0.0041856515275199065
56,Electricity,USA,-0.006494501968184602
57,Food,USA,-0.00591709413059139
58,Insurance,USA,-0.003195900450111762
59,Oil&Gas,USA,-0.015188526005697409
60,Pharmaceuticals,USA,-3.8777244519344264e-07
61,Real Estate,USA,0.0008688502880131142
62,Retail,USA,0.010596670361218058
63,Technology,USA,0.023424947059691517
64,Electricity,Germany,0.004685565914194941
65,Food,Germany,-0.003917067099378446
66,Insurance,Germany,0.006730633077168915
67,Oil&Gas,Germany,-0.009240060581391702
68,Pharmaceuticals,Germany,5.7365404101901766e-06
69,Real Estate,Germany,-6.2693617016453505e-06
70,Retail,Germany,-0.006263499311319278
71,Technology,Germany,-0.0012720679918221968
72,Electricity,Netherlands,-0.003688433943111101
73,Food,Netherlands,0.0008336074136298696
74,Insurance,Netherlands,0.00010942894283200058
75,Oil&Gas,Netherlands,-0.003688433943111101
76,Pharmaceuticals,Netherlands,-0.00029762619988230586
77,Real Estate,Netherlands,-0.00029505587824423104
78,Retail,Netherlands,-0.00015662406961602753
79,Technology,Netherlands,0.0025453378126255107
80,Electricity,Japan,-0.0033754864220641003
81,Food,Japan,4.149535192991599e-06
82,Insurance,Japan,0.0004785859290026115
83,Oil&Gas,Japan,-0.0052694648340876095
84,Pharmaceuticals,Japan,0.0010699669787161692
85,Real Estate,Japan,0.002120734358641024
86,Retail,Japan,5.5836334057024744e-05
87,Technology,Japan,-0.0004129993382458296
88,Electricity,Singapore,-0.0022853844757250654
89,Food,Singapore,0.0026606140176775026
90,Insurance,Singapore,-0.0004434709172693522
91,Oil&Gas,Singapore,-0.0022853844757250654
92,Pharmaceuticals,Singapore,-0.0022853844757250654
93,Real Estate,Singapore,0.002467986365789835
94,Retail,Singapore,-0.0022853844757250654
95,Technology,Singapore,-0.0004134813137995178
96,Electricity,Bermuda,-0.0022010452565368304
97,Food,Bermuda,-0.0022010452565368304
98,Insurance,Bermuda,0.006739661132858239
99,Oil&Gas,Bermuda,-0.0007231144843819523
100,Pharmaceuticals,Bermuda,-0.0022010452565368304
101,Real Estate,Bermuda,4.1403981273898315e-05
102,Retail,Bermuda,-0.0010023092648411718
103,Technology,Bermuda,-0.0016393672075081995
104,Electricity,Czech Republic,0.0021251320629057067
105,Food,Czech Republic,-0.0007468085678582201
106,Insurance,Czech Republic,-0.0007468085678582201
107,Oil&Gas,Czech Republic,0.00018812887037088097
108,Pharmaceuticals,Czech Republic,-0.0007468085678582201
109,Real Estate,Czech Republic,-0.0007468085678582201
110,Retail,Czech Republic,-0.0007468085678582201
111,Technology,Czech Republic,-0.0007468085678582201
112,Electricity,Malaysia,0.001812331261507689
113,Food,Malaysia,0.00040710210541493384
114,Insurance,Malaysia,-0.0010528451462601483
115,Oil&Gas,Malaysia,-0.00044766420877236156
116,Pharmaceuticals,Malaysia,-0.0010528451462601483
117,Real Estate,Malaysia,-2.6872693174384858e-05
118,Retail,Malaysia,-0.0003519188829232938
119,Technology,Malaysia,-0.0010528451462601483
120,Electricity,India,0.0018087346715485444
121,Food,India,0.0031137106117556934
122,Insurance,India,0.0006553908069558143
123,Oil&Gas,India,-0.0009896015410406464
124,Pharmaceuticals,India,-1.8655502489539144e-05
125,Real Estate,India,0.00022503988271842896
126,Retail,India,-0.003928353701310886
127,Technology,India,-0.0141634399343389
128,Electricity,Mexico,-0.001770785093829847
129,Food,Mexico,0.0019912989575931552
130,Insurance,Mexico,-0.001770785093829847
131,Oil&Gas,Mexico,-0.001770785093829847
132,Pharmaceuticals,Mexico,-0.001770785093829847
133,Real Estate,Mexico,-0.001770785093829847
134,Retail,Mexico,0.0029533968941290725
135,Technology,Mexico,-0.001770785093829847
136,Electricity,Australia,-0.0014259023075369852
137,Food,Australia,-0.006586109838784663
138,Insurance,Australia,9.63996422659796e-06
139,Oil&Gas,Australia,-0.00021292587943879423
140,Pharmaceuticals,Australia,0.00013173953500076208
141,Real Estate,Australia,0.003772748344984406
142,Retail,Australia,0.0009560429200153463
143,Technology,Australia,-0.003012286302615885
144,Electricity,Portugal,0.0014051032852681045
145,Food,Portugal,-0.0008180720825609576
146,Insurance,Portugal,-1.9519818003100058e-05
147,Oil&Gas,Portugal,3.302699744304178e-05
148,Pharmaceuticals,Portugal,-0.0008180720825609576
149,Real Estate,Portugal,-0.0008180720825609576
150,Retail,Portugal,4.069412650838946e-05
151,Technology,Portugal,-0.0008180720825609576
152,Electricity,Belgium,-0.0013936057425842174
153,Food,Belgium,2.5104589882459795e-05
154,Insurance,Belgium,0.001866913455029977
155,Oil&Gas,Belgium,-0.0009203560780491843
156,Pharmaceuticals,Belgium,0.0002418373834428499
157,Real Estate,Belgium,-0.00011123018122306566
158,Retail,Belgium,-0.0003216956849690801
159,Technology,Belgium,-0.0013936057425842174
160,Electricity,Sweden,-0.001343496694703124
161,Food,Sweden,1.731867794633595e-05
162,Insurance,Sweden,-0.001343496694703124
163,Oil&Gas,Sweden,-0.001343496694703124
164,Pharmaceuticals,Sweden,-3.766984787177165e-05
165,Real Estate,Sweden,0.0008139538322560545
166,Retail,Sweden,0.00036981862524463954
167,Technology,Sweden,2.7503934438196482e-05
168,Electricity,Ireland,-0.001185444203857115
169,Food,Ireland,0.0016305506652888315
170,Insurance,Ireland,-0.001185444203857115
171,Oil&Gas,Ireland,-0.00019393582442959198
172,Pharmaceuticals,Ireland,0.0010442229273051262
173,Real Estate,Ireland,-0.001185444203857115
174,Retail,Ireland,-0.001185444203857115
175,Technology,Ireland,-0.00025290876431523067
176,Electricity,Brazil,0.00111954591027722
177,Food,Brazil,1.9169382326509948e-05
178,Insurance,Brazil,-5.103259639616613e-05
179,Oil&Gas,Brazil,0.001873643272391284
180,Pharmaceuticals,Brazil,-0.00296907444797192
181,Real Estate,Brazil,-0.0006020737690523276
182,Retail,Brazil,-0.00021183140136373185
183,Technology,Brazil,-0.00296907444797192
184,Electricity,Taiwan,-0.0010027904495646183
185,Food,Taiwan,-0.0010027904495646183
186,Insurance,Taiwan,0.0024226349572270597
187,Oil&Gas,Taiwan,-0.0006483427345397971
188,Pharmaceuticals,Taiwan,-0.0010027904495646183
189,Real Estate,Taiwan,-0.0010027904495646183
190,Retail,Taiwan,-0.0010027904495646183
191,Technology,Taiwan,0.000474512054782473
192,Electricity,Chile,0.0008652156555005535
193,Food,Chile,-0.0005102371246488687
194,Insurance,Chile,-0.0005102371246488687
195,Oil&Gas,Chile,-0.0005102371246488687
196,Pharmaceuticals,Chile,-0.0005102371246488687
197,Real Estate,Chile,4.174877791436661e-05
198,Retail,Chile,0.00013044846872505722
199,Technology,Chile,-0.0005102371246488687
200,Electricity,South Africa,-0.0008143202655509809
201,Food,South Africa,0.0006112280341605362
202,Insurance,South Africa,0.0001661381632977766
203,Oil&Gas,South Africa,-8.982736487790912e-05
204,Pharmaceuticals,South Africa,3.4822272884607726e-08
205,Real Estate,South Africa,-0.00010845513346325361
206,Retail,South Africa,2.5048132302072843e-06
207,Technology,South Africa,-0.0008143202655509809
208,Electricity,Russia,-0.0005105292342997617
209,Food,Russia,-0.0005105292342997617
210,Insurance,Russia,-0.0005105292342997617
211,Oil&Gas,Russia,0.002282410277926003
212,Pharmaceuticals,Russia,-0.0005105292342997617
213,Real Estate,Russia,-0.0005105292342997617
214,Retail,Russia,-0.0005105292342997617
215,Technology,Russia,-0.0005105292342997617
216,Electricity,Finland,0.00044955943927229625
217,Food,Finland,-0.0011249987676018854
218,Insurance,Finland,0.000636284977300523
219,Oil&Gas,Finland,8.182514052053412e-05
220,Pharmaceuticals,Finland,-0.00020632018093047917
221,Real Estate,Finland,-0.0011249987676018854
222,Retail,Finland,-5.503032582262262e-05
223,Technology,Finland,-0.00019905548613089548
224,Electricity,UK,-0.00042128248337079286
225,Food,UK,0.008047808508069406
226,Insurance,UK,2.3456564794996403e-05
227,Oil&Gas,UK,0.0009858055971762895
228,Pharmaceuticals,UK,0.0010694973604096127
229,Real Estate,UK,-0.002064018130161642
230,Retail,UK,-0.0029651129302595315
231,Technology,UK,-0.01778997292422367
232,Electricity,Greece,0.00041831696158990255
233,Food,Greece,-0.00022942802765420353
234,Insurance,Greece,-0.00022942802765420353
235,Oil&Gas,Greece,4.417878003098301e-05
236,Pharmaceuticals,Greece,-0.00022942802765420353
237,Real Estate,Greece,-0.00022942802765420353
238,Retail,Greece,1.739648562386276e-05
239,Technology,Greece,-0.00022942802765420353
240,Electricity,Luxembourg,-0.0003084927638440422
241,Food,Luxembourg,-0.0003084927638440422
242,Insurance,Luxembourg,-0.0003084927638440422
243,Oil&Gas,Luxembourg,-0.0003084927638440422
244,Pharmaceuticals,Luxembourg,-0.00019787779976630847
245,Real Estate,Luxembourg,0.0003863320412216018
246,Retail,Luxembourg,0.0003328100667791433
247,Technology,Luxembourg,-2.4065692025524322e-05
248,Electricity,Turkey,-0.00028946675727865346
249,Food,Turkey,6.350191044049628e-05
250,Insurance,Turkey,-0.00028946675727865346
251,Oil&Gas,Turkey,0.00020675082405315878
252,Pharmaceuticals,Turkey,-0.00028946675727865346
253,Real Estate,Turkey,-0.00028946675727865346
254,Retail,Turkey,0.000241365645016621
255,Technology,Turkey,-0.00028946675727865346
256,Electricity,Philippines,0.0002786285211888395
257,Food,Philippines,0.0008108823591730618
258,Insurance,Philippines,-0.00038082131742286105
259,Oil&Gas,Philippines,-0.00038082131742286105
260,Pharmaceuticals,Philippines,-0.00038082131742286105
261,Real Estate,Philippines,-0.00038082131742286105
262,Retail,Philippines,-0.00038082131742286105
263,Technology,Philippines,-0.00038082131742286105
264,Electricity,Canada,-0.00023652363122754006
265,Food,Canada,9.350014768507082e-05
266,Insurance,Canada,0.0018204561316334609
267,Oil&Gas,Canada,0.003638836911300748
268,Pharmaceuticals,Canada,-0.010537938699674737
269,Real Estate,Canada,-2.883186934020095e-05
270,Retail,Canada,2.48566881632798e-05
271,Technology,Canada,-0.004641966237366215
272,Electricity,Colombia,-0.000227248345084384
273,Food,Colombia,-0.000227248345084384
274,Insurance,Colombia,-0.000227248345084384
275,Oil&Gas,Colombia,0.0010159534922102608
276,Pharmaceuticals,Colombia,-0.000227248345084384
277,Real Estate,Colombia,-0.000227248345084384
278,Retail,Colombia,-0.000227248345084384
279,Technology,Colombia,-0.000227248345084384
280,Electricity,Denmark,0.00020905892980269515
281,Food,Denmark,-0.005615849650053188
282,Insurance,Denmark,-0.002559350826114987
283,Oil&Gas,Denmark,-0.008814313244644024
284,Pharmaceuticals,Denmark,0.02716439615662195
285,Real Estate,Denmark,-0.006624234899015939
286,Retail,Denmark,-0.008814313244644024
287,Technology,Denmark,-0.008814313244644024
288,Electricity,Iceland,-0.000166583567559516
289,Food,Iceland,0.00037421161781375404
290,Insurance,Iceland,-1.545418248728527e-05
291,Oil&Gas,Iceland,-0.000166583567559516
292,Pharmaceuticals,Iceland,3.4334222438884044e-05
293,Real Estate,Iceland,-0.000166583567559516
294,Retail,Iceland,-4.026881482678954e-05
295,Technology,Iceland,-0.000166583567559516
296,Electricity,Hungary,-0.00011801960332542044
297,Food,Hungary,-0.00011801960332542044
298,Insurance,Hungary,-0.00011801960332542044
299,Oil&Gas,Hungary,0.0001788313848459916
300,Pharmaceuticals,Hungary,0.0001496317229538348
301,Real Estate,Hungary,-0.00011801960332542044
302,Retail,Hungary,-0.00011801960332542044
303,Technology,Hungary,-0.00011801960332542044
304,Electricity,Kazakhstan,-0.00011241957852891908
305,Food,Kazakhstan,-0.00011241957852891908
306,Insurance,Kazakhstan,-0.00011241957852891908
307,Oil&Gas,Kazakhstan,-0.00011241957852891908
308,Pharmaceuticals,Kazakhstan,-0.00011241957852891908
309,Real Estate,Kazakhstan,-0.00011241957852891908
310,Retail,Kazakhstan,-0.00011241957852891908
311,Technology,Kazakhstan,0.0005025913977804779
312,Electricity,Austria,0.00010820597031569308
313,Food,Austria,-0.00013850916418962022
314,Insurance,Austria,6.265550953816668e-05
315,Oil&Gas,Austria,0.00014737211395549467
316,Pharmaceuticals,Austria,-0.0005842446152427216
317,Real Estate,Austria,0.0001776843692319091
318,Retail,Austria,-0.0005842446152427216
319,Technology,Austria,-0.0004931051383250585
320,Electricity,Poland,9.490435763830166e-05
321,Food,Poland,-0.0006114477368035189
322,Insurance,Poland,0.0002696471749224887
323,Oil&Gas,Poland,0.0002682830192001046
324,Pharmaceuticals,Poland,-0.0006114477368035189
325,Real Estate,Poland,-0.0006114477368035189
326,Retail,Poland,2.2039692588703385e-05
327,Technology,Poland,-0.00047238127472863146
328,Electricity,New Zealand,-9.11302633158355e-05
329,Food,New Zealand,0.00031425718772831935
330,Insurance,New Zealand,-9.11302633158355e-05
331,Oil&Gas,New Zealand,1.865060874594028e-06
332,Pharmaceuticals,New Zealand,-9.11302633158355e-05
333,Real Estate,New Zealand,-9.11302633158355e-05
334,Retail,New Zealand,-9.11302633158355e-05
335,Technology,New Zealand,-9.11302633158355e-05
336,Electricity,Hong Kong,-6.321246048436168e-05
337,Food,Hong Kong,-0.0018980165844861615
338,Insurance,Hong Kong,2.690068588288429e-05
339,Oil&Gas,Hong Kong,-0.0035454037415474163
340,Pharmaceuticals,Hong Kong,-0.006738854568494581
341,Real Estate,Hong Kong,0.02103152494443994
342,Retail,Hong Kong,-0.004493164850706426
343,Technology,Hong Kong,-0.007553059053440164
344,Electricity,Romania,5.5461734496430206e-05
345,Food,Romania,-6.805547278553926e-05
346,Insurance,Romania,-6.805547278553926e-05
347,Oil&Gas,Romania,0.00013782701154652332
348,Pharmaceuticals,Romania,-6.805547278553926e-05
349,Real Estate,Romania,-6.805547278553926e-05
350,Retail,Romania,-6.805547278553926e-05
351,Technology,Romania,-6.805547278553926e-05
352,Electricity,Cayman Islands,-4.922223659094055e-05
353,Food,Cayman Islands,0.00012219896730654165
354,Insurance,Cayman Islands,2.3295536476809963e-05
355,Oil&Gas,Cayman Islands,-4.922223659094055e-05
356,Pharmaceuticals,Cayman Islands,-4.922223659094055e-05
357,Real Estate,Cayman Islands,-4.922223659094055e-05
358,Retail,Cayman Islands,-4.922223659094055e-05
359,Technology,Cayman Islands,-4.922223659094055e-05
360,Electricity,Peru,-4.8073836627041624e-05
361,Food,Peru,-4.8073836627041624e-05
362,Insurance,Peru,0.00021492249893856195
363,Oil&Gas,Peru,-4.8073836627041624e-05
364,Pharmaceuticals,Peru,-4.8073836627041624e-05
365,Real Estate,Peru,-4.8073836627041624e-05
366,Retail,Peru,-4.8073836627041624e-05
367,Technology,Peru,-4.8073836627041624e-05
368,Electricity,Indonesia,-4.3623555343856254e-05
369,Food,Indonesia,0.0020236927164604176
370,Insurance,Indonesia,-0.0015897785970304563
371,Oil&Gas,Indonesia,0.0004753407453476409
372,Pharmaceuticals,Indonesia,-0.0015897785970304563
373,Real Estate,Indonesia,-5.919886212937906e-05
374,Retail,Indonesia,-0.0001679059333531126
375,Technology,Indonesia,-0.001099562820269425
376,Electricity,Kuwait,-3.7924915561332835e-05
377,Food,Kuwait,-3.7924915561332835e-05
378,Insurance,Kuwait,0.00016954997138486546
379,Oil&Gas,Kuwait,-3.7924915561332835e-05
380,Pharmaceuticals,Kuwait,-3.7924915561332835e-05
381,Real Estate,Kuwait,-3.7924915561332835e-05
382,Retail,Kuwait,-3.7924915561332835e-05
383,Technology,Kuwait,-3.7924915561332835e-05
384,Electricity,Isle of Man,-2.1570703443223967e-05
385,Food,Isle of Man,-2.1570703443223967e-05
386,Insurance,Isle of Man,-2.1570703443223967e-05
387,Oil&Gas,Isle of Man,-2.1570703443223967e-05
388,Pharmaceuticals,Isle of Man,-2.1570703443223967e-05
389,Real Estate,Isle of Man,-2.1570703443223967e-05
390,Retail,Isle of Man,-2.1570703443223967e-05
391,Technology,Isle of Man,9.643560433603005e-05
392,Electricity,Jordan,-1.1039177299542891e-05
393,Food,Jordan,-1.1039177299542891e-05
394,Insurance,Jordan,4.935257383033645e-05
395,Oil&Gas,Jordan,-1.1039177299542891e-05
396,Pharmaceuticals,Jordan,-1.1039177299542891e-05
397,Real Estate,Jordan,-1.1039177299542891e-05
398,Retail,Jordan,-1.1039177299542891e-05
399,Technology,Jordan,-1.1039177299542891e-05
400,Electricity,Gibraltar,-7.62971160802364e-06
401,Food,Gibraltar,3.410996084416124e-05
402,Insurance,Gibraltar,-7.62971160802364e-06
403,Oil&Gas,Gibraltar,-7.62971160802364e-06
404,Pharmaceuticals,Gibraltar,-7.62971160802364e-06
405,Real Estate,Gibraltar,-7.62971160802364e-06
406,Retail,Gibraltar,-7.62971160802364e-06
407,Technology,Gibraltar,-7.62971160802364e-06
408,Electricity,Argentina,-7.557426704505472e-06
409,Food,Argentina,-0.00028289550772035395
410,Insurance,Argentina,-0.00028289550772035395
411,Oil&Gas,Argentina,-6.141269072030012e-06
412,Pharmaceuticals,Argentina,-0.00028289550772035395
413,Real Estate,Argentina,-3.932434982722336e-06
414,Retail,Argentina,-0.00028289550772035395
415,Technology,Argentina,0.0007367788401612582
416,Electricity,France,-3.2189555896682215e-06
417,Food,France,0.0003099721104905598
418,Insurance,France,0.0003202316862818107
419,Oil&Gas,France,0.00045151590221072756
420,Pharmaceuticals,France,0.000304480239843561
421,Real Estate,France,2.5803722178424182e-05
422,Retail,France,-0.0050832023832295
423,Technology,France,-0.001565411923042134
424,Electricity,Israel,-1.1086739862490645e-06
425,Food,Israel,-9.585555990734087e-05
426,Insurance,Israel,-0.00024914955745575565
427,Oil&Gas,Israel,-0.0008891079274926982
428,Pharmaceuticals,Israel,0.00014386383550167993
429,Real Estate,Israel,0.001185792143249932
430,Retail,Israel,-0.0004066040326334616
431,Technology,Israel,-0.00021176062656954285
