,Technology,Insurance,Food,Retail,Oil&Gas,Pharmaceuticals,Electricity,Real Estate
Argentina,0.20718916263865372,-0.07553666701444652,-0.05912095725704912,-0.051109944421976215,-0.05053272572380701,-0.046003849451840724,-0.030957627746134687,-0.007544452376411381
Australia,-0.003619620078539207,-0.0025501726989534176,-0.05912095725704912,0.029088534095163578,-0.005662138508510953,0.01371182919636768,-0.019766443367877966,0.01957860171908773
Austria,-0.04836667018099622,0.002512880449165103,-0.022213848836580237,-0.051109944421976215,0.035906973030379444,-0.046003849451840724,0.0023489708105288113,0.01830440956031822
Belgium,-0.08859024423092386,0.05958326564221565,-0.001217054230921966,-0.003109004728723828,-0.06916014532492715,0.05093279215328705,-0.0523828756679519,-0.00023542582165640051
Bermuda,-0.029642772038273812,0.16740360678692695,-0.05912095725704912,-0.012743934336115481,-0.03142919322824678,-0.046003849451840724,-0.0523828756679519,0.004049397752773428
Brazil,-0.08859024423092386,-0.006768301479245849,-0.003200815280882308,-1.0368761830670671e-05,0.058853628416535686,-0.046003849451840724,0.0036354431449596263,-0.002563025428865581
Canada,-0.00037898106500052365,8.818510103614013e-05,-0.005108279159851186,0.0038902525178087857,0.014385499840752124,-0.03273201346323347,-0.008196288669248923,1.4243484061792757e-05
Cayman Islands,-0.08859024423092386,0.04683368580092463,0.12095341229491997,-0.051109944421976215,-0.10627417221960302,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Chile,-0.08859024423092386,-0.07553666701444652,-0.05912095725704912,0.09064327230321761,-0.10627417221960302,-0.046003849451840724,0.07281642759574365,0.012982194567354916
China,0.03871394256717539,-0.005629804858493487,-0.015131191164074777,-2.2939741028646463e-05,-0.0005790480935063489,-0.0060475682822344005,-8.207199860855866e-05,-0.005129462491498386
Colombia,-0.08859024423092386,-0.07553666701444652,-0.05912095725704912,-0.051109944421976215,0.20027325774838142,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Czech Republic,-0.08859024423092386,-0.07553666701444652,-0.05912095725704912,-0.051109944421976215,0.043101274575385665,-0.046003849451840724,0.10119243839144576,-0.020981289736208622
Denmark,-0.08859024423092386,-0.03406294752379145,-0.04593303365482078,-0.051109944421976215,-0.10627417221960302,0.2708694138682355,-0.0018589753905936205,-0.015354970234371065
Finland,0.0042300384283469675,0.00623400690161011,-0.05912095725704912,-0.00030535949012320054,0.0009006763099776074,-0.00340731567735539,0.0009384002575974857,-0.020981289736208622
France,0.006279094232417896,-0.0013586552073534732,-0.003558995187731404,-0.022788208194095314,0.00044081286983545416,0.010849371700136775,-0.0056473599814678855,0.0002275358959555017
Germany,0.019860676134876368,0.011070055053997073,-0.0320199437138618,-0.021875562977913186,-0.0872860163889991,0.005941374007004653,0.0024272466100468265,0.00012900802297724718
Gibraltar,-0.08859024423092386,-0.07553666701444652,0.2868690062868734,-0.051109944421976215,-0.10627417221960302,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Greece,-0.08859024423092386,-0.07553666701444652,-0.05912095725704912,0.027144273599476992,0.021161555790379122,-0.046003849451840724,0.04528266112519813,-0.020981289736208622
Hong Kong,-0.02715536258957539,0.00204983973390159,-0.01264095108429095,-0.007543115858373445,-0.02310562138460555,-0.019266584521548977,-6.329915889028608e-05,0.1501668054650228
Hungary,-0.08859024423092386,-0.07553666701444652,-0.05912095725704912,-0.051109944421976215,0.06203044272432191,0.08446567305394723,-0.0523828756679519,-0.020981289736208622
Iceland,-0.08859024423092386,-0.009038642656814078,0.07433970661148268,-0.0017961357961319788,-0.10627417221960302,0.07548527810135702,-0.0523828756679519,-0.020981289736208622
India,-0.04966021190082176,0.0009605447499930683,0.0018476460742415587,-0.002000132876939212,-0.0028353718034475305,0.013195137618741963,0.0015888638527469436,0.004601931938372255
Indonesia,-0.02333903182795663,-0.07553666701444652,0.024860307018347537,-7.562978234712352e-05,0.03553892411699422,-0.046003849451840724,-0.00565318928944108,-9.924611714227119e-08
Ireland,0.0029386778735687805,-0.07553666701444652,0.013578322574990628,-0.051109944421976215,-0.024174376547534307,0.09538425336711256,-0.0523828756679519,-0.020981289736208622
Isle of Man,0.22889004112551345,-0.07553666701444652,-0.05912095725704912,-0.051109944421976215,-0.10627417221960302,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Israel,0.007551929069988379,-0.027724963659305032,-0.015296613974268087,-0.014000270804496343,-0.10627417221960302,0.04788471929336632,-0.002587838175090772,0.05210540030914422
Italy,-0.08859024423092386,0.004355427372842235,-0.04435666612789939,-0.051109944421976215,0.008496495910008978,-0.005521430429378846,0.06813031198846904,-0.020981289736208622
Japan,0.03289956297894392,-0.003248796547398399,-0.009826185195129473,0.0015850548237807491,-0.04641015304265603,0.010262936208397827,-0.023424640679656588,0.0022429860031421434
Jordan,-0.08859024423092386,0.25275013018131653,-0.05912095725704912,-0.051109944421976215,-0.10627417221960302,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Kazakhstan,0.22889004112551345,-0.07553666701444652,-0.05912095725704912,-0.051109944421976215,-0.10627417221960302,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Kuwait,-0.08859024423092386,0.25275013018131653,-0.05912095725704912,-0.051109944421976215,-0.10627417221960302,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Luxembourg,0.020182527139722718,-0.07553666701444652,-0.05912095725704912,0.09367092718103964,-0.10627417221960302,-0.025126753819739323,-0.0523828756679519,0.029050400811444353
Malaysia,-0.08859024423092386,-0.07553666701444652,0.021382407509457878,-0.0016753439680395766,-0.028203120941050278,-0.046003849451840724,0.10889806578735121,0.0025554698787454283
Mexico,-0.08859024423092386,-0.07553666701444652,0.017435156837142612,0.20052035459376805,-0.10627417221960302,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Netherlands,0.15620449742914666,-0.017427007790391528,-0.0100986947871974,-0.008807738332153037,-0.10627417221960302,-0.008870884684075913,-0.0523828756679519,-0.006268345076671347
New Zealand,-0.08859024423092386,-0.07553666701444652,0.14349872502963146,-0.051109944421976215,0.013355039433397588,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Norway,-0.08859024423092386,-0.024601490924142773,-0.0007039918793827569,-0.051109944421976215,0.04287896966239861,-0.046003849451840724,0.05428145886884477,-0.020981289736208622
Peru,-0.08859024423092386,0.25275013018131653,-0.05912095725704912,-0.051109944421976215,-0.10627417221960302,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Philippines,-0.08859024423092386,-0.07553666701444652,0.1379943254335966,-0.051109944421976215,-0.10627417221960302,-0.046003849451840724,0.057148188107514306,-0.020981289736208622
Poland,-0.041804243546713395,0.006092776000402849,-0.05912095725704912,0.011092555600215145,0.028073009854847855,-0.046003849451840724,7.0131623965570804e-06,-0.020981289736208622
Portugal,-0.08859024423092386,-0.005417037579293613,-0.05912095725704912,0.025768327552237506,0.0063639688608812355,-0.046003849451840724,0.0473325631875801,-0.020981289736208622
Romania,-0.08859024423092386,-0.07553666701444652,-0.05912095725704912,-0.051109944421976215,0.13903815633698685,-0.046003849451840724,0.006541595318076684,-0.020981289736208622
Russia,-0.08859024423092386,-0.07553666701444652,-0.05912095725704912,-0.051109944421976215,0.20027325774838142,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Saudi Arabia,-0.08859024423092386,-0.07553666701444652,-0.041760283063563414,-0.04197356622393624,0.19620153658246675,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Singapore,0.02822402773698788,-0.01708053215444743,0.033672975514217544,-0.051109944421976215,-0.10627417221960302,-0.046003849451840724,-0.0523828756679519,0.05751293485367429
South Africa,-0.08859024423092386,0.005928197465003223,0.012855216812310076,0.0125826385817676,-0.009628357389371841,0.012150576316258332,-0.0523828756679519,-0.0007649795137892523
South Korea,0.005969445846959735,-0.013351405096380053,-0.03503838189253917,0.016664790325802772,-0.08332032815587394,-0.03840323826725389,0.07525601561984943,-0.020981289736208622
Spain,-0.014413306134276431,-0.02860838155719259,-0.034741952989230176,0.0760192682301707,-0.026527205941470025,-0.007935014199788135,0.04755691084680161,-0.020981289736208622
Sweden,0.0775686339410407,-0.07553666701444652,-0.01012908910477867,0.014449913039876437,-0.10627417221960302,-0.0005546660321464275,-0.0523828756679519,0.007089805973352452
Switzerland,-0.005278430718715164,0.0025533215546056157,0.025207853873058635,-0.051109944421976215,-0.09323399736423026,0.07020250018833481,-0.037198446486575804,-0.010897017966475743
Taiwan,0.13778439965406414,0.007551970308883448,-0.05912095725704912,-0.051109944421976215,-0.0866312760642186,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
Turkey,-0.08859024423092386,-0.07553666701444652,-0.0002662215637316504,0.07408728094655806,0.037496031861271525,-0.046003849451840724,-0.0523828756679519,-0.020981289736208622
UK,-0.05512602800890412,-0.0014879673540472236,0.002602456729806385,-0.0009757140388511627,0.0047071455229531455,0.025328494777562903,-0.005726763054389997,-0.0006455146734042332
USA,0.0855950849962351,-0.02085531248291517,-0.022010492067700324,0.0004188123222062133,-0.027806418073623426,-5.760808340265111e-05,-0.017527970793070106,-0.0005450147141134367
